tmvcodigo;tmvdescricao;tmvatualiza
2349;"IMP/MMC ECLIPSE S. GS-T                           ";"N"
235;"IMP/YAMAHA VIRAGO 1100                            ";"N"
2350;"IMP/MMC MONTERO SPORT                             ";"N"
2351;"IMP/MMC                                           ";"N"
2352;"MON/DACRIS                                        ";"N"
2353;"FORD/MASTER                                       ";"N"
2354;"VW/LITORAL                                        ";"N"
2355;"BM/FOSTER                                         ";"N"
2356;"FIBBRA/F1                                         ";"N"
2357;"VW/SAO FRANCISCO                                  ";"N"
2358;"SANFRA/SAO FRANCISCO                              ";"N"
2359;"IMP/AUTO UNION                                    ";"N"
236;"IMP/YAMAHA VMAX                                   ";"N"
2360;"MARAJA                                            ";"N"
2361;"VW/APOLLO GL                                      ";"N"
2362;"VW/APOLLO GLS                                     ";"N"
2363;"VW/APOLLO VIP                                     ";"N"
2364;"FIBRAVAN/KAUIPE                                   ";"N"
2365;"FIBRAVAN                                          ";"N"
2366;"MVA/REGATA                                        ";"N"
2367;"MVE/REGATA SPORT                                  ";"N"
2368;"MARINAS                                           ";"N"
2369;"MR/MARINAS                                        ";"N"
237;"IMP/YAMAHA ROYAL STAR                             ";"N"
2370;"IMP/NISSAN *********                              ";"N"
2371;"IMP/NISSAN *********                              ";"N"
2372;"IMP/NISSAN MAXIMA GXE                             ";"N"
2373;"IMP/NISSAN PATHFINDER                             ";"N"
2374;"IMP/NISSAN SENTRA GXE                             ";"N"
2375;"IMP/NISSAN SENTRA GSX                             ";"N"
2376;"IMP/NISSAN QUEST GXE                              ";"N"
2377;"IMP/NISSAN MAXIMA 30J                             ";"N"
2378;"IMP/NISSAN MAXIMA 30G                             ";"N"
2379;"IMP/NISSAN MAXIMA 30GV                            ";"N"
238;"IMP/YAMAHA YZF 600                                ";"N"
2380;"IMP/NISSAN TERRANO SE                             ";"N"
2381;"IMP/NISSAN TERRANO SLX                            ";"N"
2382;"IMP/NISSAN PATHFINDER SE                          ";"N"
2383;"IMP/NISSAN SENTRA GLE                             ";"N"
2384;"IMP/NISSAN PATHFINDER LE                          ";"N"
2385;"IMP/NISSAN PRIMERA GXE                            ";"N"
2386;"IMP/NISSAN                                        ";"N"
2387;"VW/FIBRAVAN KAUIPE                                ";"N"
2388;"ADAX                                              ";"N"
2389;"VW/MASTER                                         ";"N"
239;"IMP/YAMAHA YZF 1000                               ";"N"
2390;"GLASPAC                                           ";"N"
2391;"A1/TRILHA                                         ";"N"
2392;"SELVAGEM/L                                        ";"N"
2393;"SELVAGEM/S                                        ";"N"
2394;"IMP/HISPANO ******                                ";"N"
2395;"IMP/ANGLIA                                        ";"N"
2396;"IVEL/MONACO                                       ";"N"
2397;"VW/IVEL MONACO                                    ";"N"
2398;"ITAL/PORSCHE 550 SPYDER                           ";"N"
2399;"ITAL/THUNDERBIRD 1955                             ";"N"
24;"BP/TORK 125                                       ";"N"
240;"IMP/YAMAHA XT 225                                 ";"N"
2400;"EDRA/RANCHO                                       ";"N"
2401;"EDRA/RANCHO TT 4X4                                ";"N"
2402;"VENDETTA/EQUUS                                    ";"N"
2403;"VW/VENDETTA EQUUS                                 ";"N"
2404;"AME/PORSCHE 550 SPYDER                            ";"N"
2405;"CARRAH/MUSARI                                     ";"N"
2406;"VOLKSWAGEN                                        ";"N"
2407;"VW/BUZIO                                          ";"N"
2408;"BUZIO                                             ";"N"
2409;"TITAN                                             ";"N"
241;"IMP/YAMAHA VIRAGO 250                             ";"N"
2410;"VW/TITAN                                          ";"N"
2411;"JOBBY                                             ";"N"
2412;"FN/CIGANO XL                                      ";"N"
2413;"VW/MARINAS                                        ";"N"
2414;"VW/VERAO                                          ";"N"
2415;"IMP/MASERATI ******                               ";"N"
2416;"IMP/MASERATI *********                            ";"N"
2417;"IMP/MASERATI ***                                  ";"N"
2418;"IMP/MASERATI ***                                  ";"N"
2419;"IMP/MASERATI                                      ";"N"
242;"IMP/YAMAHA R1Z 250                                ";"N"
19029;"A.QUEIROZ/F.PROPRIA TRIC";"N"
2421;"IMP/SINGER                                        ";"N"
2422;"IMP/AUBURN                                        ";"N"
2423;"IMP/FRANKLIN                                      ";"N"
2424;"IMP/GRAF STIFT                                    ";"N"
2425;"IMP/STANDARD EIGHT                                ";"N"
2426;"IMP/FAIRLANE                                      ";"N"
2427;"IMP/DURANT                                        ";"N"
2428;"IMP/BRUMANA ********                              ";"N"
2429;"IMP/SUBEAN                                        ";"N"
243;"IMP/YAMAHA SRX 400                                ";"N"
2430;"IMP/UTILITY                                       ";"N"
2431;"IMP/ERLAN                                         ";"N"
2432;"IMP/MONTE CARLO                                   ";"N"
2433;"IMP/WHIPPET                                       ";"N"
2434;"IMP/HOFFMAN                                       ";"N"
2435;"IMP/HANZA                                         ";"N"
2436;"IMP/HUMBER                                        ";"N"
2437;"GM/BRASINCA UIRAPURU                              ";"N"
2438;"VW/FREE WAY WALKING                               ";"N"
2439;"IMP/ARMSTRONG                                     ";"N"
244;"IMP/YAMAHA TZR 250                                ";"N"
2440;"FORD/VERSAILLES GL                                ";"N"
2441;"FORD/VERSAILLES 2.0 GL                            ";"N"
2442;"FORD/VERSAILLES 2.0 GHIA                          ";"N"
2443;"FORD/VERSAILLES 2.0IGHIA                          ";"N"
2444;"FORD/VERSAILLES 2.0 I GL                          ";"N"
2445;"FORD/VERSAILLES 1.8 I GL                          ";"N"
19030;"CLA.BORGES/F.PROPRIA TRI";"N"
2446;"GURGEL/MOTOMACHINE                                ";"N"
2447;"GURGEL/SUPERMINI                                  ";"N"
2448;"GURGEL/SUPERMINI BR SL                            ";"N"
2449;"GURGEL/SUPERMINI BR L                             ";"N"
245;"IMP/YAMAHA VIRAGO 400                             ";"N"
2450;"AURORA/BERLINETTA 122 C                           ";"N"
2451;"LINCE/LYNX 2.0                                    ";"N"
2452;"FIAT/TEMPRA OURO                                  ";"N"
2453;"FIAT/TEMPRA STILE                                 ";"N"
2454;"FIAT/TEMPRA 16V                                   ";"N"
2455;"FIAT/TEMPRA OURO 16V                              ";"N"
2456;"FIAT/TEMPRA IE                                    ";"N"
2457;"FIAT/TEMPRA TURBO IE                              ";"N"
2458;"FIAT/TEMPRA SX                                    ";"N"
2459;"FIAT/TEMPRA SX 16V                                ";"N"
246;"IMP/YAMAHA XJ 400                                 ";"N"
2460;"FIAT/TEMPRA HLX 16V                               ";"N"
2461;"FIAT/TEMPRA TURBO STILE                           ";"N"
2462;"FIAT/TEMPRA                                       ";"N"
2463;"MAGNATA/SAINT_TROPEZ                              ";"N"
2464;"MAGNATA/COUNTRY                                   ";"N"
2465;"MAGNATA/LSE                                       ";"N"
2466;"IMP/HYUNDAI SCOUPE                                ";"N"
2467;"IMP/HYUNDAI SCOUPE LS                             ";"N"
2468;"IMP/HYUNDAI EXCEL L                               ";"N"
2469;"IMP/HYUNDAI EXCEL LS                              ";"N"
247;"IMP/YAMAHA XT 400                                 ";"N"
2470;"IMP/HYUNDAI EXCEL GLS                             ";"N"
2471;"IMP/HYUNDAI ELANTRA GL                            ";"N"
2472;"IMP/HYUNDAI ELANTRA GLS                           ";"N"
2473;"IMP/HYUNDAI SONATA GL                             ";"N"
2474;"IMP/HYUNDAI SONATA GLS                            ";"N"
2475;"IMP/HYUNDAI SONATA2L GL                           ";"N"
2476;"IMP/HYUNDAI EXCEL GS                              ";"N"
2477;"IMP/HYUNDAI ACCENT LR                             ";"N"
2478;"IMP/HYUNDAI ACCENT LSR                            ";"N"
2479;"IMP/HYUNDAI ACCENT GSR                            ";"N"
248;"IMP/YAMAHA FJ 1200                                ";"N"
2480;"IMP/HYUNDAI ACCENT GLSR                           ";"N"
2481;"IMP/HYUNDAI SONATA2L GLS                          ";"N"
2482;"IMP/HYUNDAI SONATA3L GLS                          ";"N"
2483;"IMP/HYUNDAI ELANTRA GLSR                          ";"N"
2484;"IMP/HYUNDAI ELANTRA WGLS                          ";"N"
2485;"IMP/HYUNDAI COUPE FX                              ";"N"
2486;"IMP/HYUNDAI                                       ";"N"
2487;"IMP/INFINITI                                      ";"N"
2488;"IMP/SATURN                                        ";"N"
2489;"IMP/DE TOMASO                                     ";"N"
249;"IMP/YAMAHA TRX 850                                ";"N"
2490;"IMP/GEO                                           ";"N"
2491;"IMP/DAIHATSU APPLAUSE L                           ";"N"
2492;"IMP/DAIHATSU APPLAUSE X                           ";"N"
2493;"IMP/DAIHATSU CHARADE CS                           ";"N"
2494;"IMP/DAIHATSU CHARADE CX                           ";"N"
2495;"IMP/DAIHATSU CHARADE TS                           ";"N"
2496;"IMP/DAIHATSU CHARADE TX                           ";"N"
2497;"IMP/DAIHATSU FEROZA DX                            ";"N"
